model,num_threads,num_items,num_users,num_latent_factors,K,dummy_1,dummy_2,dummy_3,preproc_time,index_time,retrieval_time,comp_time
old-nomad-KDD-100,1,624961,1000990,100,1,0,1000990,8092775102,4.54471,2.74769,1089.53,1096.83
old-nomad-KDD-100,1,624961,1000990,100,5,0,5004950,15999390694,4.54585,4.02766,1835.3,1843.88
old-nomad-KDD-100,1,624961,1000990,100,10,0,10009900,19820818787,4.63578,5.01746,2280.86,2290.52
old-nomad-KDD-100,1,624961,1000990,100,50,0,50049500,34579463033,4.14855,6.17671,3543.38,3553.7
lemp-paper-KDD-50,1,624961,1000990,50,1,0,1000990,576196915085,1.04937,23.8668,18863.5,18888.4
lemp-paper-KDD-50,1,624961,1000990,50,5,0,5004950,625543146175,1.37263,54.1662,23818.5,23874.1
lemp-paper-KDD-50,1,624961,1000990,50,10,0,10009900,625558630463,1.1034,52.1588,24145.4,24198.7
lemp-paper-KDD-50,1,624961,1000990,50,50,0,50049500,625564196488,1.29968,20.3182,20475.2,20496.8
pb-new-kdd-10,1,624961,1000990,10,1,0,1000990,2853428129,0.238843,0.100924,68.4983,68.838
pb-new-kdd-10,1,624961,1000990,10,10,0,10009900,10064120019,0.327535,0.356178,196.655,197.338
pb-new-kdd-10,1,624961,1000990,10,5,0,5004950,7408844857,0.288748,0.296799,149.458,150.044
pb-new-kdd-10,1,624961,1000990,10,50,0,50049500,27281999805,0.603418,0.894101,427.257,428.754
pb-new-kdd-25,1,624961,1000990,25,1,0,1000990,8205715405,0.971405,2.76392,1130.55,1134.29
pb-new-kdd-25,1,624961,1000990,25,10,0,10009900,35137290477,1.21777,6.18314,2681.53,2688.93
pb-new-kdd-25,1,624961,1000990,25,5,0,5004950,31934284659,1.21017,4.83737,2229,2235.04
pb-new-kdd-25,1,624961,1000990,25,50,0,50049500,65616562813,1.48075,10.1742,4568.38,4580.03
pb-new-kdd-50,1,624961,1000990,50,1,0,1000990,20138967037,2.53979,16.0858,5189.01,5207.64
pb-new-kdd-50,1,624961,1000990,50,10,0,10009900,50947375331,2.68264,25.1693,9467.78,9495.63
pb-new-kdd-50,1,624961,1000990,50,5,0,5004950,38621940198,2.63614,22.2324,7676.48,7701.34
pb-new-kdd-50,1,624961,1000990,50,50,0,50049500,82998881210,2.67064,28.1249,11092,11122.8
sigmod-deadline-kdd-10,1,624961,1000990,10,1,0,1000990,27720226225,0.675057,0.64759,340.562,341.885
sigmod-deadline-kdd-10,1,624961,1000990,10,10,0,10009900,39083089371,0.737793,0.975073,495.4,497.113
sigmod-deadline-kdd-10,1,624961,1000990,10,5,0,5004950,34399248765,0.708385,0.862291,453.297,454.868
sigmod-deadline-kdd-10,1,624961,1000990,10,50,0,50049500,50728892985,0.877637,1.31645,640.019,642.213
sigmod-deadline-kdd-25,1,624961,1000990,25,1,0,1000990,20444112363,1.47678,3.66102,1255.87,1261.01
sigmod-deadline-kdd-25,1,624961,1000990,25,10,0,10009900,25775309533,1.40128,5.41897,1727.15,1733.97
sigmod-deadline-kdd-25,1,624961,1000990,25,5,0,5004950,25370669788,1.50233,4.79834,1689.57,1695.87
sigmod-deadline-kdd-25,1,624961,1000990,25,50,0,50049500,43114933973,1.60713,7.19972,2521.22,2530.02
sigmod-deadline-kdd-50,1,624961,1000990,50,1,0,1000990,25540148836,2.47377,6.01382,2516.37,2524.85
sigmod-deadline-kdd-50,1,624961,1000990,50,10,0,10009900,51851898765,2.50121,7.78143,3656.86,3667.14
sigmod-deadline-kdd-50,1,624961,1000990,50,5,0,5004950,36374949729,2.49254,7.90078,3303.77,3314.16
sigmod-deadline-kdd-50,1,624961,1000990,50,50,0,50049500,72048212710,2.72328,10.5898,5156.46,5169.77
nomad-KDD-100-gold-standard,1,624961,1000990,100,1,0,1000990,13087919732,4.48603,4.32167,1798.08,1806.89
nomad-KDD-100-gold-standard,1,624961,1000990,100,5,0,5004950,24922277989,4.59695,7.24167,2864.44,2876.28
nomad-KDD-100-gold-standard,1,624961,1000990,100,10,0,10009900,32911243978,4.01209,6.326,3553.01,3563.34
nomad-KDD-100-gold-standard,1,624961,1000990,100,50,0,50049500,54325748488,4.41223,11.4572,5454.36,5470.23
nomad-KDD-25-reg-0.001,1,624961,1000990,25,1,0,1000990,31186532416,1.09614,3.83583,1464.52,1469.45
nomad-KDD-25-reg-0.001,1,624961,1000990,25,5,0,5004950,36493307413,1.16149,6.38652,2231.93,2239.48
nomad-KDD-25-reg-0.001,1,624961,1000990,25,10,0,10009900,71751685154,1.53224,5.87179,2894.6,2902.01
nomad-KDD-25-reg-0.001,1,624961,1000990,25,50,0,50049500,75265862663,1.51005,10.5454,3942.88,3954.94
nomad-KDD-25-reg-0.01,1,624961,1000990,25,1,0,1000990,23770513594,1.06259,4.46415,1562.23,1567.76
nomad-KDD-25-reg-0.01,1,624961,1000990,25,5,0,5004950,34986542840,1.1882,6.91254,2330.98,2339.08
nomad-KDD-25-reg-0.01,1,624961,1000990,25,10,0,10009900,37524983053,1.23744,8.4307,2765.54,2775.21
nomad-KDD-25-reg-0.01,1,624961,1000990,25,50,0,50049500,135287383263,1.88946,7.00579,4184.52,4193.41
nomad-KDD-25-reg-0.1,1,624961,1000990,25,1,0,1000990,48289360415,1.35481,4.82644,2192.42,2198.6
nomad-KDD-25-reg-0.1,1,624961,1000990,25,5,0,5004950,78358769855,1.21019,5.91261,3160.08,3167.2
nomad-KDD-25-reg-0.1,1,624961,1000990,25,10,0,10009900,106657551509,1.424,6.93923,3699.75,3708.11
nomad-KDD-25-reg-0.1,1,624961,1000990,25,50,0,50049500,152007708248,1.92762,9.59699,5079.92,5091.45
nomad-KDD-25-reg-1,1,624961,1000990,25,1,0,1000990,17738416246,1.39484,3.01796,1158.18,1162.59
nomad-KDD-25-reg-1,1,624961,1000990,25,5,0,5004950,40593396083,1.42407,4.27899,2331.11,2336.81
nomad-KDD-25-reg-1,1,624961,1000990,25,10,0,10009900,27482874440,1.28206,6.61243,2320.88,2328.77
nomad-KDD-25-reg-1,1,624961,1000990,25,50,0,50049500,99176633318,1.48495,6.42815,3690.58,3698.5
