model,num_threads,num_items,num_users,num_latent_factors,K,dummy_1,dummy_2,dummy_3,preproc_time,index_time,retrieval_time,comp_time
ramdisk-r2-10,1,136736,1823179,10,1,0,1823179,68441235148,0.232765,0.943051,816.521,817.697
ramdisk-r2-10,1,136736,1823179,10,5,0,9115895,85084440823,0.263214,1.12044,893.633,895.016
ramdisk-r2-10,1,136736,1823179,10,10,0,18231790,90335945690,0.307903,1.29272,973.631,975.232
ramdisk-r2-10,1,136736,1823179,10,50,0,91158950,110407805993,0.65732,1.5856,1163.05,1165.29
nomad-R2-25-reg-0.001,1,136736,1823179,25,1,0,1823179,9981288768,0.560616,0.271752,167.753,168.585
nomad-R2-25-reg-0.001,1,136736,1823179,25,5,0,9115895,12187181339,0.618407,0.347932,209.555,210.521
nomad-R2-25-reg-0.001,1,136736,1823179,25,10,0,18231790,13791969442,0.536795,0.372254,237.853,238.762
nomad-R2-25-reg-0.001,1,136736,1823179,25,50,0,91158950,19545180244,0.891671,0.549289,362.761,364.202
nomad-R2-25-reg-0.01,1,136736,1823179,25,1,0,1823179,3512555214,0.623078,0.09013,66.2814,66.9946
nomad-R2-25-reg-0.01,1,136736,1823179,25,5,0,9115895,4981556099,0.640917,0.131397,97.4218,98.1942
nomad-R2-25-reg-0.01,1,136736,1823179,25,10,0,18231790,6328295597,0.540485,0.159279,110.502,111.202
nomad-R2-25-reg-0.01,1,136736,1823179,25,50,0,91158950,11272089570,0.901572,0.303625,208.591,209.796
nomad-R2-25-reg-0.1,1,136736,1823179,25,1,0,1823179,21269829,0.455797,0.005129,0.644033,1.10496
nomad-R2-25-reg-0.1,1,136736,1823179,25,5,0,9115895,30266360,0.528362,0.006617,1.04916,1.58414
nomad-R2-25-reg-0.1,1,136736,1823179,25,10,0,18231790,53235936,0.517542,0.009669,1.66359,2.1908
nomad-R2-25-reg-0.1,1,136736,1823179,25,50,0,91158950,251677728,1.25147,0.030189,7.44164,8.7233
nomad-R2-25-reg-1,1,136736,1823179,25,1,0,1823179,9282551,0.269993,0.002808,0.412176,0.684977
nomad-R2-25-reg-1,1,136736,1823179,25,5,0,9115895,22425483,0.517078,0.004717,0.888148,1.40994
nomad-R2-25-reg-1,1,136736,1823179,25,10,0,18231790,40262596,0.364442,0.00639,1.20598,1.57681
nomad-R2-25-reg-1,1,136736,1823179,25,50,0,91158950,145368193,1.10512,0.027167,4.96017,6.09245
nomad-R2-100-reg-0.001,1,136736,1823179,100,1,0,1823179,110012629,1.28256,0.010018,8.28132,9.5739
nomad-R2-100-reg-0.001,1,136736,1823179,100,5,0,9115895,173209388,1.55653,0.014137,10.7738,12.3444
nomad-R2-100-reg-0.001,1,136736,1823179,100,10,0,18231790,265945744,1.02637,0.019207,16.7325,17.7781
nomad-R2-100-reg-0.001,1,136736,1823179,100,50,0,91158950,965834520,2.02872,0.067673,56.932,59.0284
nomad-R2-100-reg-0.01,1,136736,1823179,100,1,0,1823179,97737699,0.916213,0.006969,6.35318,7.27636
nomad-R2-100-reg-0.01,1,136736,1823179,100,5,0,9115895,188305986,1.54961,0.016022,14.7153,16.2809
nomad-R2-100-reg-0.01,1,136736,1823179,100,10,0,18231790,292146254,1.02322,0.020934,17.3027,18.3468
nomad-R2-100-reg-0.01,1,136736,1823179,100,50,0,91158950,970179957,1.40236,0.067829,56.8081,58.2783
nomad-R2-100-reg-0.1,1,136736,1823179,100,1,0,1823179,37425684,1.29237,0.004599,2.98608,4.28305
nomad-R2-100-reg-0.1,1,136736,1823179,100,5,0,9115895,96601258,1.5397,0.008789,6.2478,7.79629
nomad-R2-100-reg-0.1,1,136736,1823179,100,10,0,18231790,167894112,1.03235,0.012641,10.6395,11.6845
nomad-R2-100-reg-0.1,1,136736,1823179,100,50,0,91158950,713379541,2.1018,0.052453,44.0859,46.2401
nomad-R2-100-reg-1,1,136736,1823179,100,1,0,1823179,362959504,1.47722,0.0287,20.8198,22.3257
nomad-R2-100-reg-1,1,136736,1823179,100,5,0,9115895,527151943,1.55506,0.046714,35.0797,36.6815
nomad-R2-100-reg-1,1,136736,1823179,100,10,0,18231790,723928260,1.05691,0.060724,48.3018,49.4194
nomad-R2-100-reg-1,1,136736,1823179,100,50,0,91158950,1554091040,1.42931,0.119351,100.214,101.763
