model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time
lemp-paper-KDD-50,1,624961,1000990,51,1,0,1000990,3394752312,1.19118,2.0864,700.005,703.283
lemp-paper-KDD-50,1,624961,1000990,51,10,0,10009900,14046221945,1.47495,3.87662,1466.97,1472.33
lemp-paper-KDD-50,1,624961,1000990,51,5,0,5004950,9494174207,1.39536,3.20852,1185.82,1190.43
lemp-paper-KDD-50,1,624961,1000990,51,50,0,50049500,27580681802,1.78547,6.08049,2452.94,2460.81
lemp-paper-Netflix-50,1,17770,480189,50,1,0,480189,950922847,0.162175,0.23119,40.2262,40.6196
lemp-paper-Netflix-50,1,17770,480189,50,10,0,4801890,1590355645,0.183985,0.423136,64.4587,65.0658
lemp-paper-Netflix-50,1,17770,480189,50,5,0,2400945,1164919755,0.170557,0.338697,53.7592,54.2684
lemp-paper-Netflix-50,1,17770,480189,50,50,0,24009450,2989531160,0.277875,0.591118,105.016,105.885
lemp-paper-Netflix-noav-10,1,17770,480189,10,1,0,480189,813097832,0.041052,0.044102,7.7271,7.81226
lemp-paper-Netflix-noav-10,1,17770,480189,10,10,0,4801890,1334376669,0.062259,0.077368,12.1398,12.2794
lemp-paper-Netflix-noav-10,1,17770,480189,10,5,0,2400945,1126657945,0.050846,0.064409,10.1252,10.2405
lemp-paper-Netflix-noav-10,1,17770,480189,10,50,0,24009450,2081419641,0.157228,0.148946,24.2168,24.5229
lemp-paper-Netflix-noav-100,1,17770,480189,100,1,0,480189,3766718058,0.319589,1.24368,236.879,238.443
lemp-paper-Netflix-noav-100,1,17770,480189,100,10,0,4801890,4810741032,0.341507,1.48394,292.361,294.187
lemp-paper-Netflix-noav-100,1,17770,480189,100,5,0,2400945,4589683128,0.329318,1.41838,277.04,278.787
lemp-paper-Netflix-noav-100,1,17770,480189,100,50,0,24009450,5669102217,0.440021,1.74515,342.024,344.21
lemp-paper-Netflix-noav-50,1,17770,480189,50,1,0,480189,2513445578,0.159719,0.383169,78.1551,78.698
lemp-paper-Netflix-noav-50,1,17770,480189,50,10,0,4801890,3088567728,0.182385,0.573985,104.931,105.687
lemp-paper-Netflix-noav-50,1,17770,480189,50,5,0,2400945,2961668854,0.170571,0.498259,95.9742,96.643
lemp-paper-Netflix-noav-50,1,17770,480189,50,50,0,24009450,4391936066,0.279643,0.740167,140.938,141.958
nomad-KDD-10-reg-1,1,624961,1000990,10,1,0,1000990,10822898533,0.418889,0.260338,127.735,128.414
nomad-KDD-10-reg-1,1,624961,1000990,10,10,0,10009900,28226622575,0.549015,0.630592,312.476,313.656
nomad-KDD-10-reg-1,1,624961,1000990,10,5,0,5004950,19803311837,0.484675,0.513679,238.573,239.571
nomad-KDD-10-reg-1,1,624961,1000990,10,50,0,50049500,47514790418,0.791888,1.08957,562.9,564.782
nomad-KDD-100-reg-1,1,624961,1000990,100,1,0,1000990,57435079670,4.2091,15.8258,6684.64,6704.68
nomad-KDD-100-reg-1,1,624961,1000990,100,10,0,10009900,114036106099,4.4056,23.8154,10793.4,10821.7
nomad-KDD-100-reg-1,1,624961,1000990,100,5,0,5004950,96244496897,4.34156,21.5789,9724.36,9750.28
nomad-KDD-100-reg-1,1,624961,1000990,100,50,0,50049500,171413444980,4.65091,28.6752,14825.9,14859.2
nomad-KDD-25-reg-0.001,1,624961,1000990,25,1,0,1000990,24349052058,1.08435,4.04471,1457.6,1462.73
nomad-KDD-25-reg-0.001,1,624961,1000990,25,10,0,10009900,47525156373,1.21982,7.13518,2734.42,2742.77
nomad-KDD-25-reg-0.001,1,624961,1000990,25,5,0,5004950,36605373396,1.15235,6.37537,2235.46,2242.99
nomad-KDD-25-reg-0.001,1,624961,1000990,25,50,0,50049500,73186036265,1.49394,9.94568,3909.17,3920.61
nomad-KDD-50-reg-1,1,624961,1000990,50,1,0,1000990,26680751126,2.22351,8.86416,3587.72,3598.8
nomad-KDD-50-reg-1,1,624961,1000990,50,10,0,10009900,71780938283,2.36774,13.1272,6061.18,6076.67
nomad-KDD-50-reg-1,1,624961,1000990,50,5,0,5004950,51862681980,2.33561,12.228,5256.7,5271.27
nomad-KDD-50-reg-1,1,624961,1000990,50,50,0,50049500,116261241257,2.61287,16.0138,8512.11,8530.74
nomad-Netflix-10-reg-0.05,1,17770,480189,10,1,0,480189,990868000,0.042425,0.061275,8.54791,8.65161
nomad-Netflix-10-reg-0.05,1,17770,480189,10,10,0,4801890,1604292197,0.067081,0.108125,15.5515,15.7267
