model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time
dsgdpp-Netflix-10-reg-0.05,1,17770,480189,10,1,0,480189,1086156394,0.042626,0.044833,11.4824,11.5699
dsgdpp-Netflix-10-reg-0.05,1,17770,480189,10,10,0,4801890,2208292053,0.062871,0.095542,25.2802,25.4386
dsgdpp-Netflix-10-reg-0.05,1,17770,480189,10,5,0,2400945,1815736503,0.051184,0.078299,20.5734,20.7028
dsgdpp-Netflix-10-reg-0.05,1,17770,480189,10,50,0,24009450,3359414889,0.156105,0.182739,46.097,46.4358
dsgdpp-Netflix-10-reg-0.5,1,17770,480189,10,1,0,480189,1074339668,0.039045,0.042571,10.9424,11.024
dsgdpp-Netflix-10-reg-0.5,1,17770,480189,10,10,0,4801890,1955456387,0.059449,0.08293,21.2168,21.3592
dsgdpp-Netflix-10-reg-0.5,1,17770,480189,10,5,0,2400945,1633785818,0.048843,0.069048,17.7641,17.882
dsgdpp-Netflix-10-reg-0.5,1,17770,480189,10,50,0,24009450,2995094946,0.154608,0.165248,39.4605,39.7804
dsgdpp-Netflix-10-reg-1.0,1,17770,480189,10,1,0,480189,1575691993,0.039336,0.059458,15.5633,15.6621
dsgdpp-Netflix-10-reg-1.0,1,17770,480189,10,10,0,4801890,2399919862,0.060749,0.105266,25.1756,25.3416
dsgdpp-Netflix-10-reg-1.0,1,17770,480189,10,5,0,2400945,2163263662,0.04905,0.090656,21.5249,21.6646
dsgdpp-Netflix-10-reg-1.0,1,17770,480189,10,50,0,24009450,3184845956,0.152128,0.174123,39.5144,39.8407
dsgdpp-Netflix-10-reg-10.0,1,17770,480189,10,1,0,480189,109572522,0.035768,0.005383,1.32993,1.37108
dsgdpp-Netflix-10-reg-10.0,1,17770,480189,10,10,0,4801890,210639026,0.058818,0.011953,2.88484,2.95562
dsgdpp-Netflix-10-reg-10.0,1,17770,480189,10,5,0,2400945,137904411,0.049499,0.008874,1.86351,1.92189
dsgdpp-Netflix-10-reg-10.0,1,17770,480189,10,50,0,24009450,556107608,0.157252,0.035875,9.3312,9.52432
dsgdpp-Netflix-10-reg-5.0,1,17770,480189,10,1,0,480189,499041463,0.041261,0.01942,5.75161,5.81229
dsgdpp-Netflix-10-reg-5.0,1,17770,480189,10,10,0,4801890,1093315490,0.059902,0.044585,13.8248,13.9292
dsgdpp-Netflix-10-reg-5.0,1,17770,480189,10,5,0,2400945,855531267,0.051494,0.037469,10.4151,10.5041
dsgdpp-Netflix-10-reg-5.0,1,17770,480189,10,50,0,24009450,1998624962,0.161406,0.10493,32.6428,32.9091
dsgdpp-Netflix-100-reg-0.05,1,17770,480189,100,1,0,480189,1020086414,0.246151,0.355034,68.2627,68.8639
dsgdpp-Netflix-100-reg-0.05,1,17770,480189,100,10,0,4801890,1711969695,0.269845,0.504857,100.095,100.869
dsgdpp-Netflix-100-reg-0.05,1,17770,480189,100,5,0,2400945,1636408042,0.257612,0.473839,97.1213,97.8528
dsgdpp-Netflix-100-reg-0.05,1,17770,480189,100,50,0,24009450,1969040796,0.374533,0.618573,124.26,125.253
dsgdpp-Netflix-100-reg-0.5,1,17770,480189,100,1,0,480189,4271257248,0.296738,1.40332,281.302,283.002
dsgdpp-Netflix-100-reg-0.5,1,17770,480189,100,10,0,4801890,6433726699,0.321635,1.89118,376.368,378.581
dsgdpp-Netflix-100-reg-0.5,1,17770,480189,100,5,0,2400945,6280783083,0.309721,1.8337,363.841,365.984
dsgdpp-Netflix-100-reg-0.5,1,17770,480189,100,50,0,24009450,7177841706,0.422077,2.08584,415.923,418.431
dsgdpp-Netflix-100-reg-1.0,1,17770,480189,100,1,0,480189,3403126229,0.302788,1.30162,260.414,262.018
dsgdpp-Netflix-100-reg-1.0,1,17770,480189,100,10,0,4801890,6610453271,0.322551,1.89787,373.205,375.425
